Result Data Qualifier Code,Result Data Qualifier Description,Active,Last Modified By,Modified Date
"UJG","Analyte was not detected at or above the reported estimate with likely low bias.","True","CombinedCodeSSIS","3/4/2009"
"UJK","Analyte was not detected at or above the reported estimate with unknown bias.","True","CombinedCodeSSIS","3/4/2009"
"UJL","Analyte was not detected at or above the reported estimate with likely high bias.","True","CombinedCodeSSIS","3/4/2009"
"VAR","Variation within dataset; multiple results creating an unexpected pattern.","True","CNEU461","7/13/2016"
"WLA","Well water level affected by atmospheric pressure.","True","CNEU461","8/29/2012"
"WLB","Well water level affected by tidal stage.","True","CNEU461","8/29/2012"
"WLC","Well water level affected by ice.","True","CNEU461","8/29/2012"
"WLD","Well was dry during measurement attempt.","True","CNEU461","8/29/2012"
"WLE","Well was flowing recently.","True","CNEU461","8/29/2012"
"WLF","Well was flowing and could not be measured.","True","CNEU461","8/31/2012"
"WLG","Nearby well(s) flowing during measurement.","True","CNEU461","8/29/2012"
"WLH","Nearby well(s) flowing recently.","True","CNEU461","8/29/2012"
"WLI","Well site was being injected during measurement.","True","CNEU461","8/29/2012"
"WLJ","Nearby well site(s) being injected during measurement.","True","CNEU461","8/29/2012"
"WLK","Water was cascading down inside of well.","True","CNEU461","8/29/2012"
"WLL","Well water level affected by brackish or saline water.","True","CNEU461","8/29/2012"
"WLM","Well was plugged and not in hydraulic contact with the aquifer.","True","CNEU461","8/31/2012"
"WLN","Well measurement discontinued.","True","CNEU461","8/29/2012"
"WLO","Well water level affected by/could not be measured due to obstruction in well.","True","CNEU461","8/31/2012"
"WLP","Well site was being pumped during measurement.","True","CNEU461","8/29/2012"
"WLR","Well site was pumped recently.","True","CNEU461","8/29/2012"
"WLS","Nearby well(s) being pumped during measurement.","True","CNEU461","8/29/2012"
"WLT","Nearby well(s) pumped recently.","True","CNEU461","8/29/2012"
"WLV","LNAPL (floating product) or other foreign substance on well water.","True","CNEU461","8/29/2012"
"WLW","Well was destroyed; water level could not be measured.","True","CNEU461","8/29/2012"
"WLX","Well water level affected by nearby surface-water stage.","True","CNEU461","8/29/2012"
"WLZ","Well water level affected by other conditions.","True","CNEU461","8/29/2012"
